gameid,genres
247020,"['Action', 'Indie', 'Simulation', 'Strategy']"
733340,['Adventure']
963690,"['Casual', 'Indie', 'RPG', 'Simulation']"
787860,['Simulation']
536270,"['Action', 'Adventure', 'Indie', 'RPG']"
230070,"['Indie', 'RPG']"
403900,"['Action', 'Indie']"
373930,['Strategy']
322450,"['Adventure', 'Casual', 'Indie']"
1111370,"['Casual', 'Indie']"
351290,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'Simulation']"
1615100,"['Action', 'Adventure']"
1129580,"['Action', 'Adventure', 'Indie', 'RPG', 'Simulation']"
676430,"['Casual', 'Indie']"
597230,"['Action', 'Indie', 'RPG']"
711980,"['Action', 'Adventure', 'Indie', 'Simulation', 'Early Access']"
266410,"['Massively Multiplayer', 'Racing', 'Simulation', 'Sports']"
895220,"['Adventure', 'Casual', 'Indie', 'RPG']"
6300,"['Adventure', 'RPG']"
525360,"['Action', 'Indie']"
1403020,"['Indie', 'Simulation', 'Strategy']"
527100,"['Casual', 'RPG', 'Simulation']"
423770,"['Adventure', 'Indie', 'RPG', 'Simulation']"
264540,"['Action', 'Indie']"
45710,"['Action', 'Adventure']"
1224290,"['Adventure', 'Indie', 'RPG', 'Strategy']"
407810,"['Action', 'Adventure']"
619080,"['Action', 'Adventure', 'Free To Play']"
8080,['Action']
102500,"['Action', 'RPG']"
1194110,"['Animation & Modeling', 'Design & Illustration', 'Game Development']"
1015930,['Strategy']
342180,"['Action', 'Adventure', 'Indie']"
671440,"['Indie', 'Simulation', 'Strategy']"
265610,"['Adventure', 'RPG']"
916730,"['Action', 'Adventure', 'Indie']"
398710,"['Action', 'Casual', 'Indie']"
244710,"['Adventure', 'Indie']"
21980,['Action']
333250,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']"
73170,['Strategy']
751440,['Adventure']
597840,"['Animation & Modeling', 'Design & Illustration', 'Photo Editing', 'Utilities']"
798810,"['Simulation', 'Utilities']"
572430,"['Action', 'Adventure', 'Indie', 'Simulation', 'Strategy']"
452570,"['Action', 'Adventure', 'Indie', 'RPG']"
416680,"['Action', 'Indie', 'Strategy']"
287450,[]
231430,['Strategy']
853770,"['Action', 'Indie', 'Early Access']"
420290,"['Action', 'Casual', 'Indie', 'Strategy', 'Free To Play']"
1054430,"['Action', 'Casual', 'Indie', 'Racing']"
915810,"['Action', 'Indie']"
790820,"['Action', 'RPG', 'Strategy']"
320,['Action']
619880,"['Action', 'Indie']"
1265930,"['Action', 'Adventure']"
237110,[]
247080,"['Action', 'Indie', 'RPG']"
962130,"['Action', 'Adventure']"
275850,"['Action', 'Adventure']"
3020,['Action']
443810,"['Adventure', 'Indie', 'Strategy']"
814540,"['Adventure', 'Indie', 'RPG']"
1574270,"['Indie', 'RPG', 'Simulation']"
290790,['Strategy']
1070330,"['Action', 'Indie', 'Simulation', 'Sports', 'Strategy']"
776490,"['Action', 'Adventure', 'Indie', 'RPG']"
1397790,"['Action', 'Adventure', 'Indie', 'Early Access']"
1525410,"['Adventure', 'Indie', 'RPG', 'Strategy']"
559330,"['Adventure', 'Indie']"
774171,"['Action', 'Casual', 'Indie']"
402160,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG', 'Simulation', 'Strategy']"
1108590,"['Action', 'Adventure', 'Indie', 'RPG']"
1380420,"['Action', 'Adventure', 'Casual']"
58610,"['Indie', 'Simulation', 'Strategy']"
604490,"['Adventure', 'Casual', 'Indie', 'Early Access']"
718850,['Strategy']
323320,"['Adventure', 'Casual', 'Indie']"
365450,"['Indie', 'Simulation']"
1222670,"['Adventure', 'Casual', 'Simulation', 'Free To Play']"
451340,"['Indie', 'Simulation']"
1373550,"['Action', 'Adventure', 'RPG']"
1101190,"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']"
814530,"['Indie', 'Strategy']"
369440,"['Action', 'Adventure', 'RPG']"
976590,['Simulation']
1372280,['Action']
611760,"['Adventure', 'Indie']"
1262560,"['Action', 'Adventure', 'Racing']"
956680,"['Action', 'Indie', 'RPG', 'Strategy', 'Early Access']"
1202900,"['Casual', 'Indie']"
484900,"['Indie', 'Simulation', 'Strategy']"
223470,"['Action', 'Adventure', 'Indie']"
411560,"['Casual', 'Indie']"
330020,"['Action', 'Adventure', 'Indie', 'RPG']"
1549750,"['Action', 'Adventure', 'Indie']"
538070,"['Adventure', 'Casual', 'Indie']"
297120,"['Action', 'Indie']"
517810,"['Simulation', 'Strategy']"
625960,"['Adventure', 'Indie', 'RPG', 'Strategy', 'Early Access']"
1008710,"['Adventure', 'Casual', 'Indie', 'RPG']"
1071870,"['Action', 'Adventure', 'Casual', 'Indie', 'Simulation', 'Sports', 'Strategy']"
553210,"['Action', 'RPG', 'Strategy']"
397500,"['Action', 'Adventure', 'Indie', 'RPG']"
388880,"['Adventure', 'Indie']"
1433420,"['Casual', 'RPG', 'Simulation', 'Strategy']"
1509510,"['Simulation', 'Strategy']"
47790,['Action']
204100,['Action']
331160,"['Adventure', 'Racing']"
955050,"['Action', 'Adventure', 'Indie']"
488860,"['Action', 'Indie']"
1097150,"['Action', 'Casual', 'Indie', 'Massively Multiplayer', 'Sports']"
982720,"['Adventure', 'Indie']"
527270,['RPG']
